url,language,paragraph
https://en.wikipedia.org/wiki/Harry_S._Truman,en,"Harry S. Truman(May 8, 1884 – December 26, 1972) was the 33 rdpresident of the United States, serving from 1945 to 1953. As the 34 thvice presidentin 1945, he assumed the presidency upon the death of Franklin D. Rooseveltthat year. Subsequently, Truman implemented the Marshall Planin theaftermath of World War IIto rebuild the economy of Western Europe, and established both the Truman Doctrineand NATOto contain the expansion of Soviet communism. A member of the Democratic Party, he proposed numerous New Deal coalitionliberal domestic reforms, but few were enacted by theconservative coalitionthat dominated the United States Congress."
https://en.wikipedia.org/wiki/John_Adams,en,"John Adams(October 30, 1735 – July 4, 1826) was a Founding Fatherand the secondpresident of the United Statesfrom 1797 to 1801. Beforehis presidency, he was a leader of the American Revolutionthat achieved independence from Great Britain. During the latter part of the Revolutionary Warand in the early years of the new nation, he served the Continental Congressof the United States as a senior diplomat in Europe. Adams was the first person to hold the office ofvice president of the United States, serving from 1789 to 1797. He was a dedicated diarist and regularly corresponded with important contemporaries, including his wife and advisor Abigail Adamsand his friend and rival Thomas Jefferson."
https://en.wikipedia.org/wiki/Thomas_Jefferson,en,"Thomas Jefferson(April 13 , 1743 – July 4, 1826) was an American Founding Fatherand the thirdpresident of the United Statesfrom 1801 to 1809. He was the primary author of the Declaration of Independence. Jefferson was the nation's first U. S. secretary of stateunder George Washingtonand then the nation's secondvice presidentunder John Adams. Jefferson was a leading proponent of democracy,republicanism, andnatural rights, and he produced formative documents and decisions at the state, national, and international levels."
https://en.wikipedia.org/wiki/James_Madison,en,"James Madison(March 16, 1751 – June 28, 1836) was an American statesman, diplomat, and Founding Fatherwho served as the fourthpresident of the United Statesfrom 1809 to 1817. Madison was popularly acclaimed as the ""Father of the Constitution"" for his pivotal role in drafting and promoting the Constitution of the United Statesand the Bill of Rights."
https://en.wikipedia.org/wiki/James_Monroe,en,"James Monroe(/mənˈroʊ/mən-ROH; April 28, 1758 – July 4, 1831) was an American Founding Fatherwho served as the fifthpresident of the United Statesfrom 1817 to 1825. He was the last Founding Father to serve as president as well as the last president of the Virginia dynasty. Monroe was a member of the Democratic-Republican Party, andhis presidencycoincided with the Era of Good Feelings, concluding the First Party Systemera of American politics. He issued the Monroe Doctrine, a policy of limiting European colonialism in the Americas. Monroe previously served as Governor of Virginia, a member of the United States Senate, U. S. ambassador to France and Britain, the seventh secretary of state, and the eighth secretary of war."
https://en.wikipedia.org/wiki/John_Quincy_Adams,en,"John Quincy Adams(/ˈkwɪnzi/ⓘ; July 11, 1767 – February 23, 1848) was the sixthpresident of the United States, serving from 1825 to 1829. He previously served as the eighth United States secretary of statefrom 1817 to 1825. During his long diplomatic and political career, Adams served as an ambassador and also as a member of the United States Congressrepresenting Massachusettsin both chambers. He was the eldest son of John Adams, the second president, and First Lady Abigail Adams. Initially a Federalistlike his father, he won election to the presidency as a member of the Democratic-Republican Party, and later, in the mid-1830 s, became affiliated with the Whig Party."
https://en.wikipedia.org/wiki/Andrew_Jackson,en,"Andrew Jackson(March 15, 1767 – June 8, 1845) was the seventhpresident of the United Statesfrom 1829 to 1837. He rose to fame as a U. S. Armygeneral and served in both houses of the U. S. Congress. His political philosophy, which dominatedhis presidency, became the basis for the rise of Jacksonian democracy. His legacy is controversial: he has been praised as an advocate for working Americans andpreserving the union of states, and criticized for his racist policies, particularly towards Native Americans."
https://en.wikipedia.org/wiki/Martin_Van_Buren,en,"Martin Van Buren(/vænˈbjʊərən/van BYOO-rən;Dutch:Maarten van Buren ⓘ; December 5, 1782 – July 24, 1862) was the eighthpresident of the United States, serving from 1837 to 1841. A primary founder of the Democratic Party, Van Buren held a number of prominent offices. He served as New York's attorney generaland U. S. senator, then briefly as the ninthgovernor of New York. After joining Andrew Jackson's administration, he served as the tenth United States secretary of state, minister to the United Kingdom, and ultimately, as the eighthvice presidentfrom 1833 to 1837, after being elected on Jackson's ticket in1832. Van Buren won the presidency in1836 against divided Whig opponents. He lost re-election in1840, and failed to win the Democratic nomination in1844. Later in his life, Van Buren re-emerged as an elder statesman and ananti-slaveryleader who led the Free Soil Partyticket in the1848 presidential election."
https://en.wikipedia.org/wiki/William_Henry_Harrison,en,"William Henry Harrison(February 9, 1773 – April 4, 1841) was the ninthpresident of the United States, serving from March 4 to April 4, 1841, the shortest presidency in U. S. history. He was also the first U. S. president to die in office, causing a briefconstitutional crisis, sincepresidential successionwas not then fully defined in the U. S. Constitution. Harrison was the last president born as a British subject in the Thirteen Colonies. He was a member of the Harrison family of Virginia, and a son of Benjamin Harrison V, who was a U. S. Founding Father. His own son John Scott Harrisonwas the father of Benjamin Harrison, the 23 rd U. S. president."
https://en.wikipedia.org/wiki/John_Tyler,en,"John Tyler(March 29, 1790 – January 18, 1862) was the tenthpresident of the United States, serving from 1841 to 1845, after briefly holding office as the tenthvice presidentin 1841. He was elected vice president on the1840 Whigticket with President William Henry Harrison, succeeding to the presidency following Harrison's death 31 days after assuming office. Tyler was a stalwart supporter and advocate ofstates' rights, including regardingslavery, and he adoptednationalisticpolicies as president only when they did not infringe on the states' powers. His unexpected rise to the presidency posed a threat to the presidential ambitions of Henry Clayand other Whig politicians and left Tyler estranged from both of the nation's major political parties at the time."
https://en.wikipedia.org/wiki/James_K._Polk,en,"James Knox Polk(/poʊk/; November 2, 1795 – June 15, 1849) was the 11 thpresident of the United States, serving from 1845 to 1849. A protégé of Andrew Jacksonand a member of the Democratic Party, he was an advocate of Jacksonian democracyand American expansionism. Polk saw Texasjoin the Union in his first year in office, one of the precipitating causes that soon led the U. S. into the Mexican–American War. The settlement of that war expanded American territory to the Pacific Ocean. During his term, the dispute over the Oregon Territorywith the United Kingdom was also resolved, creating the present U. S.-Canadian boundary."
https://en.wikipedia.org/wiki/Zachary_Taylor,en,"Zachary Taylor(November 24, 1784 – July 9, 1850) was an American military officer and politician who was the 12 thpresident of the United States, serving from 1849 until his death in 1850. Taylor was a career officer in the United States Army, rising to the rank ofmajor generaland becoming a national hero for his victories in the Mexican–American War. As a result, he won election to the White Housedespite his vague political beliefs. His top priority as president was to preserve the Union. He died 16 months into his term from a stomach disease. Taylor had the third-shortest presidential term in U. S. history."
https://en.wikipedia.org/wiki/Millard_Fillmore,en,"Millard Fillmore(January 7, 1800 – March 8, 1874) was the 13 thpresident of the United States, serving from 1850 to 1853. He was the last president to be a member of the Whig Partywhile in the White House, and the last to be neither a Democratnor a Republican. A former member of the U. S. House of Representatives, Fillmore was electedvice presidentin1848, and succeeded to the presidency when Zachary Taylordied in 1850. Fillmore was instrumental in passing the Compromise of 1850, which led to a brief truce in the battle over the expansion ofslavery."
https://en.wikipedia.org/wiki/Franklin_Pierce,en,"Franklin Pierce(November 23, 1804 – October 8, 1869) was the 14 thpresident of the United States, serving from 1853 to 1857. A northern Democratwho believed that theabolitionist movementwas a fundamental threat to national unity, he alienated anti-slavery groups by signing the Kansas–Nebraska Actand enforcing the Fugitive Slave Act. Conflict between North and South continued after Pierce's presidency, and, following Abraham Lincoln's victory in the1860 presidential election, the Southern states seceded, resulting in the American Civil War."
https://en.wikipedia.org/wiki/James_Buchanan,en,"James Buchanan Jr.(/bjuːˈkænən/ⓘbew-KAN-ən; April 23, 1791 – June 1, 1868) was the 15 thpresident of the United States, serving from 1857 to 1861. He also served as thesecretary of statefrom 1845 to 1849 and represented Pennsylvaniain both houses of the U. S. Congress. Buchanan was an advocate forstates' rights, particularly regardingslavery, and minimized the role of thefederal governmentpreceding the American Civil War."
https://en.wikipedia.org/wiki/Donald_Trump,en,"Donald John Trump(born June 14, 1946) is an American politician, media personality, and businessman who is the 47 thpresident of the United States. A member of the Republican Party, he served as the 45 th president from 2017 to 2021."
